Year,Exporter,Importer,HSCode,Weight,Value,EstimationMethod,UnitPrice($/kg)
2024,TGO,NGA,6309,2018775.0,810507.782,Original,0.401484951
2024,TUR,GNQ,6309,115465.0,46633.0,Original,0.403871303
2024,TUR,MHL,6310,220.0,89.0,Original,0.404545455
2024,UGA,KEN,6310,5.0,1.98,Original,0.396
2024,UKR,POL,6310,3619340.0,1433114.18,Original,0.395960087
2024,USA,THA,6310,1177848.0,468879.0,Original,0.398081077
2024,BHR,GRC,6309,12230.0,5001.077,Original,0.408918806
2024,BEL,ZAF,6310,5036.77,2055.96,Original,0.408190169
2024,CHN,CAN,6309,363511.0,148131.0,Original,0.407500736
2024,CHN,GMB,6309,1720852.0,706737.0,Original,0.41069017
2024,CHN,PAK,6309,63744450.0,26070694.0,Original,0.408987669
2024,CHN,SEN,6309,18948430.0,7703481.0,Original,0.40654983
2024,CZE,ARE,6309,1158920.0,473040.0,Original,0.408173127
2024,CRI,COL,6310,48.26,20.0,Original,0.414421881
2024,EST,GMB,6309,434382.0,179043.94,Original,0.412180845
2024,FIN,LTU,6309,8591860.0,3535696.862,Original,0.411517048
2024,FIN,SOM,6309,597.0,243.107,Original,0.407214405
2024,GMB,CAN,6309,2500.0,1021.866,Original,0.4087464
2024,DEU,OMN,6309,4447320.0,1841797.494,Original,0.41413649
2024,GRC,PAK,6309,3625940.0,1501324.476,Original,0.414051108
2024,GTM,HND,6309,248931.0,101887.0,Original,0.409298159
2024,GTM,ESP,6310,1412326.0,575796.0,Original,0.407693408
2024,ITA,HUN,6309,3263360.0,1341602.745,Original,0.411110863
2024,JPN,LSO,6309,62290.0,25527.477,Original,0.409816616
2024,KAZ,TUR,6309,3040.81,1249.0,Original,0.410745821
2024,MYS,CHN,6309,401376.708,163174.641,Original,0.406537394
2024,MYS,ARE,6309,6599614.8,2716012.783,Original,0.411541107
2024,PRT,COD,6309,25474.0,10370.819,Original,0.407113881
2024,SVN,TUN,6309,603897.0,249922.619,Original,0.413849744
2024,IND,GUY,6310,500.0,205.916,Original,0.411832
2024,IND,GBR,6310,1925048.0,795573.684,Original,0.413274726
2024,TGO,NER,6309,81710.0,33352.777,Original,0.408184763
2024,TGO,GBR,6309,33160.0,13590.348,Original,0.409841616
2024,GBR,BEL,6309,1220301.0,501408.454,Original,0.410889161
2024,USA,IND,6310,11160076.0,4542656.0,Original,0.407045257
2024,AUT,ARE,6309,17573.0,7460.849,Original,0.424563194
2024,BGR,IND,6309,2131668.0,901359.899,Original,0.422842534
2024,AUS,PAK,6310,323990.0,137136.567,Original,0.423274073
2024,CHN,CMR,6309,20442758.0,8501467.0,Original,0.41586693
2024,CHN,NGA,6309,58266740.0,24530754.0,Original,0.421007834
